-107,-3
-108,-4
-107,-4
-107,-5
-106,-4
-106,-5
-106,-6
-105,-5
-105,-6
-105,-7
-104,-4
-104,-5
-104,-6
-74,4
-75,3
-74,3
-73,3
-75,2
-74,2
-73,2
-72,2
-74,1
-73,1
-97,19
-98,18
-97,18
-96,18
-95,18
-101,17
-100,17
-99,17
-98,17
-97,17
-102,16
-101,16
-79,18
-78,18
-80,17
-79,17
-78,17
-77,17
-103,-13
-102,-13
-106,-14
-105,-14
-104,-14
-103,-14
-102,-14
-101,-14
-100,-14
-107,-15
-106,-15
-105,-15
-104,-15
-103,-15
-102,-15
-101,-15
-100,-15
-106,-16
-105,-16
-104,-16
-103,-16
-102,-16
-101,-16
-100,-16
-103,-17
-102,-17
-101,-17
-105,-18
-103,-18
-102,-18
-95,-17
-94,-17
-94,-18
-93,-18
-92,-18
-92,-19
-72,-15
-73,-16
-72,-16
-74,-17
-73,-17
-72,-17
-74,-18
-73,-18
-75,-19
-74,-19
-71,2
-72,1
-73,0
-72,0
-71,0
-73,-1
-72,-1
-71,-1
-74,-2
-73,-2
-72,-2
-74,-3
-73,-3
-72,-3
-73,-4
-74,-6
-73,-6
-75,-7
-74,-7
-73,-7
-74,-8
-76,19
-77,18
-76,18
-75,18
-76,17
-75,17
-81,16
-80,16
-81,15
-80,15
-79,15
-80,14
-79,14
-78,14
-79,13
-78,13
-77,13
-99,9
-98,9
-100,8
-99,8
-98,8
-100,7
-99,7
-98,7
-99,6
-74,-4
-75,-5
-74,-5
-75,-6
-85,-14
-84,-14
-86,-15
-85,-15
-84,-15
-83,-15
-87,-16
-86,-16
-85,-16
-84,-16
-86,-17
-85,-17
-101,19
-100,19
-99,19
-98,19
-104,18
-103,18
-102,18
-101,18
-100,18
-99,18
-106,17
-105,17
-104,17
-103,17
-102,17
-107,16
-106,16
-105,16
-108,15
-107,15
-108,14
-79,16
-78,16
-77,16
-76,16
-75,16
-78,15
-77,15
-76,15
-75,15
-77,14
-76,14
